,Judul,Url,Bahan,Step,clean
203,Resep Loco Moco,https://resepkoki.id/resep/resep-loco-moco/," Nasi putih  -  300 gram Telur, ceplok 1/2 matang  -  1 butir  Bawang putih, haluskan  -  3 siung Kecap inggris  -  1 sdm Mayonaise  -  1 sdm Lada hitam bubuk  -  1/2 sdt Kaldu jamur  -  1/2 sdt Garam  -  1/2 sdt  Kaldu sapi  -  750 ml Kecap manis  -  3 sdm Kecap inggris  -  1 sdm Saus tomat  -  1 sdm Garam  -  1/2 sdt Tepung maizena - 1 sdm Mentega - 1 sdm Bawang bombay, iris memanjang - 1/2 buah Daun bawang, iris iris - 1 helai","Campur daging giling dengan semua bahan patty, aduk rata lalu bentuk bundar pipih.Panggang patty hingga matang dengan api sedang agas daging matang hingga kedalam.Panaskan mentega, tumis bawang bombay masak hingga terkaramelisasi. Kemudian tambahkan semua bahan saus coklat masak hingga mengental.Tata nasi di atas piring, beri patty di atasnya, tambahkan kuah coklat dan terakhir tata telur 1/2 matang. Taburi dengan daun bawang. Siap disajikan.","['mentega', 'lada', 'kaldu jamur', 'tepung maizena', 'hela', 'bubuk', 'telur', 'kecap manis', 'kecap inggris', 'ceplok', 'daun bawang', 'hitam', 'bawang putih', 'nasi putih', 'mayonaise', 'saus tomat', 'kaldu sapi', 'bawang bombay']"
204,Resep Burrito Ayam,https://resepkoki.id/resep/resep-burrito-ayam/," Tortilla diameter 22 cm  -  4 lembar Fillet dada ayam  -  250 gram Selada bokor, iris iris  -  100 gram Alpukat, potong dadu  -  1 buah Tomat tanpa biji, potong dadu  -  2 buah Bawang bombay  -  1/2 buah Saus tomat  -  secukupnya Saus cabai  -   Lada bubuk  -  1/2 sdt Jintan bubuk  -  1/2 sdt Paprika bubuk  -  1/2 sdt Garam  -  1/4 sdt Kaldu jamur  -  1/4 sdt Air jeruk lemon  -  1 sdm","Lumuri ayam dengan semua bahan lumuran marinasi selama 1 jam, kemudian panggang dan potong dadu.Panaskan tortilla di pan anti lengket, panggang sesaat.Dalam wadah terpisah ambil nasi hangat masukan margarine dan daun ketumbar yang diiris halus, aduk rata.Tata di bagian tengah tortilla: Tempatkan nasi tepat di bawah bagian tengah. Taburi dengan ayam di atas nasi, kemudian selada bokor, keju, alpukat dan saus. Lipat bagian bawah untuk menutupi isian lalu lipat ujung kiri dan kanan ke dalam.1. Jika ingin disimpan dalam freezer, gunakan kubis sebagai pengganti selada. Kubis lebih tahan beku.","['lada bubuk', 'kaldu jamur', 'jeruk', 'lemon', 'alpukat', 'tortilla', 'bokor', 'dada ayam', 'bubuk', 'paprika', 'biji', 'tomat', 'cabai', 'jintan', 'bawang bombay', 'selada', 'saus tomat', 'saus']"
205,Resep Cornflake Cookies,https://resepkoki.id/resep/resep-cornflake-cookies/," Cornflake, hancurkan agar kecil kasar  -  100 gram Tepung serbaguna  -  200 gram Butter  -  150 gram Garam  -  1/4 sdt Pasta vanilla  -  1/2 sdt Telur  -  1 butir Baking powder  -  1/2 sdt","Dalam wadah besar, mixer butter dan gula halus selama 1-2 menit hingga berwarna pucat dan creamy.Masukan pasta vanilla dan telur lalu kocok dengan mixer kembali.Setelah tercampur rata masukan tepung terigu yang telah diayak bersama baking powder dan dicampur garam, lalu mixer kecepatan rendah hingga rata.Timbang adonan seberat 12 gram (bisa juga memakai ice cream spoon) bulatkan lalu masukan kedalam remahan corn flake sambal dipadat-padatkan.Tata dalam Loyang yang sudah dialasi baking paper, lalu panggang dalam oven yang sudah dihangatkan 180°C sebelumnya. Panggang di suhu 160°C selamat 20-25 menit hingga keemasan.Begitu matang, pindahkan ke loyang baru yang tidak panas dan biarkan sampai panasnya hilang sebelum disajikan atau disimpan dalam toples.Dalam mengocok telur dan adonan tepung jangan terlalu lama agar hasil cookies renyah.","['pasta', 'vanilla', 'butter', 'telur', 'cornflake', 'tepung', 'serbaguna', 'baking powder']"
206,Resep Ayam Goreng Oatmeal,https://resepkoki.id/resep/resep-ayam-goreng-oatmeal/," Paha ayam bagian bawah  -  5 buah Tepung oatmeal  -  100 gram Minyak untuk menggoreng  -  500 ml Garam  -  1/2 sdt Bawang putih, haluskan  -  2 siung Merica bubuk  -  1/4 sdt Tepung terigu  -  5 sdm Tepung maizena  -  1 sdm Bawang putih bubuk  -  1 sdt Garam  -  1/2 sdt Kaldu bubuk  -  1/2 sdt Merica bubuk  -  1/4 sdt Baking powder  -  1/2 sdt Air es  -  150 ml","Balur ayam dengan bumbu marinasi, tusuk-tusuk dengan garpu, biarkan bumbu meresap selama 30 menit atau semalaman.Sambil menunggu ayam dimarinasi, siapkan bahan pencelupnya, campur rata semua bahan pencelup.Masukkan ayam ke dalam bahan pencelup, kemudian gulingkan ke tepung oatmeal sampai terbalut rata.Panaskan minyak sampai benar-benar panas, kemudian kecilkan api. Goreng ayam balut tepung oatmeal dengan api kecil sampai matang.Ayam goreng tepung oatmeal siap disajikan dengan cocolan saus sesuai selera.1. Pilih paha ayam yang tidak terlalu besar agar lebih mudah mematangkannya.","['oatmeal', 'tepung maizena', 'tepung terigu', 'merica bubuk', 'bawang putih bubuk', 'paha ayam', 'bawang putih', 'kaldu bubuk', 'tepung', 'baking powder']"
207,Resep Mie Ayam Solo,https://resepkoki.id/resep/resep-mie-ayam-solo/," Mie basah siap pakai  -  10 porsi Caisim, potong-potong  -  10 tangkai Daun bawang bagian hijaunya, rajang  -  3 batang  Paha ayam  -  1 kg Daun bawang, ambil bagian putihnya lalu rajang  -  3 batang Jahe, memarkan  -  4 cm Daun salam  -  2 lembar Serai, memarkan  -  2 batang Lengkuas, memarkan  -  3 cm Daun jeruk, sobek-sobek  -  2 lembar Garam  -  2 sdt Gula merah  -  50 gram Kecap manis  -  1 sdm Kecap asin  -  1 sdt","Buat minyak ayam: Ambil sekitar 50 gram kulit dan lemak ayam, goreng dengan 100 ml minyak, api kecil, sampai wangi. Masukkan bawang putih cincang, lanjutkan masak sampai kuning keemasan, matikan api. Dinginkan kemudian saring. Minyak ayam bawang siap dipakai.Panaskan minyak, tumis bumbu halus, salam, lengkuas, serai, jahe, dan daun jeruk sampai wangi. Beri sebagian air, masak sampai mendidih.Masukkan ayam dan daun bawang, masak sampai ayam berubah warna. Masukkan sisa air, bumbui dengan garam, merica, gula merah, kecap manis, kecap asin, saus tiram, kaldu bubuk, dan minyak wijen, aduk rata, tutup wajan, masak sampai ayam matang dan bumbu meresap. Koreksi rasa, kemudian angkat. Topping ayam siap dipakai.Buat kuah kaldu: Masak air sampai mendidih, masukkan tulang ayam, bawang putih yang sudah ditumis, jahe, rebus sampai kaldunya wangi. Masukkan bakso, bubuhi garam, merica, kaldu bubuk, koreksi rasa, angkat, buang tulang ayamnya. Beri irisan daun bawang menjelang disajikan.Penyelesaian: didihkan air, rebus caisim dan mie sampai kematangan yang diinginkan, tiriskan. Dalam mangkok, beri 2 sdt minyak ayam bawang, sedikit garam dan merica, 1 sdm kuah dari topping ayam, aduk dengan sumpit.","['caisim', 'daun jeruk', 'lengkuas', 'daun salam', 'kecap asin', 'mie', 'kecap manis', 'jahe', 'daun bawang', 'hijau', 'paha ayam', 'putih', 'serai', 'merah']"
208,Resep Nasi Rames,https://resepkoki.id/resep/resep-nasi-rames/," Nasi putih  -  6 piring Sambal terasi  -  secukupnya  pete, kupas (optional)  -  1 tangkai Daun salam  -  2 lembar Lengkuas, memarkan  -  3 cm Serai  -  1 batang Garam  -  1/2 sdt Kaldu bubuk  -  1/2 sdt Gula pasir  -  1 sdt Air  -  50 ml Minyak goreng  -  3   Bawang merah  -  5 butir Bawang putih  -  3 siung","Kentang Balado: Goreng kentang sampai matang dan empuk, angkat dan sisihkan. Panaskan minyak, tumis bumbu halus, salam, serai dan lengkuas sampai harum. Masukkan petai, air, bumbui dengan garam, gula pasir dan kaldu bubuk. Masak sampai mendidih. Masukan kentang yang sudah digoreng, aduk merata rata, masak sampai bumbu meresap dan air habis.Telur Balado: Goreng telur rebus sampai berkulit, angkat, sisihkan. Panaskan minyak, tumis bumbu halus, daun jeruk, salam, serai dan lengkuas sampai harum. Tambahkan air, bumbui dengan garam, gula pasir dan kaldu bubuk, masak sampai mendidih. Masukkan telur, masak sampai meresap dan air menyusut sambil terus diaduk rata.Oseng Buncis: Panaskan minyak, tumis bawang merah dan bawang putih sampai harum. Kemudian masukkan cabe merah, cabe hijau, tomat, daun salam dan lengkuas, aduk rata sampai bumbu matang. Masukkan wortel, aduk sebentar. Masukkan buncis, aduk sampai mulai layu. Tambahkan air, bumbui dengan garam, gula merah dan kaldu bubuk. Masak sampai matang dan kuah terserap semua.Bihun Goreng Kampung: Didihkan air, rebus bihun sampai lunak, tiriskan. Panaskan minyak, tumis bumbu halus sampai harum, masukkan wortel dan irisan kol, masak sampai setengah matang sambil terus diaduk. Tambahkan saus tiram, kecap manis dan kaldu bubuk, aduk rata. Masukkan bihun, aduk hingga semua bumbu rata dan meresap. Masukkan irisan daun bawang, aduk sebentar, angkat.Siapkan nasi yang sudah ditata di atas piring, tata telur balado, oseng buncis, balado kentang, dan bihun dengan rapi di setiap sisinya. Sajikan dengan sambal terasi.1. Membuat bumbu telur balado dan kentang balado bisa sekaligus.","['bawang merah', 'petai', 'lengkuas', 'daun salam', 'nasi putih', 'kaldu bubuk', 'serai', 'bawang putih', 'sambal terasi']"
209,Resep Tuna Bakar Kecap,https://resepkoki.id/resep/resep-tuna-bakar-kecap/," Ikan tuna (1 kg), bersihkan dan potong potong  -  1 ekor Air jeruk nipis  -  1 sdt Garam  -  1/2 sdt Bawang merah, haluskan  -  5 butir Bawang putih, haluskan  -  3 siung Kunyit, bakar, haluskan  -  2 cm Kemiri  -  2 butir Ketumbar bubuk  -  1 sdt Garam  -  1 sdt Kecap manis  -  5 sdm Jeruk limau  -  1 buah Merica bubuk  -  1/2 sdt Minyak goreng  -  2 : Timun  -  secukupnya","Cuci bersih ikan, tiriskan dan lap dengan tisu penyerap supaya airnya hilang.Kucuri dengan air jeruk nipis dan sedikit garam, sisihkan.Siapkan bumbu: Haluskan bawang merah, bawang putih, kunyit, dan kemiri. Kemudian campurkan dengan bahan bumbu lainnya (garam, ketumbar bubuk, kecap manis, merica bubuk, minyak goreng, dan air jeruk limau), aduk rata.Lumuri ikan tuna dengan setengah bagian bumbu.Bakar ikan tuna sambil dibolak-balik dan diolesi bumbu hingga matang.Siap disajikan.Agar bumbu lebih meresap, ikan tuna bisa direndam bumbu semalaman.","['ketumbar bubuk', 'ikan tuna', 'jeruk limau', 'jeruk nipis', 'merica bubuk', 'kecap manis', 'kunyit', 'kemiri', 'timun', 'bawang putih', 'bawang merah']"
210,Resep Jus Sirsak,https://resepkoki.id/resep/resep-jus-sirsak/, Sirsak ukuran sedang @450 gram  -  1 buah Gula pasir  -  3 sdm Kental manis  -  2 sdm Es batu  -  secukupnya,"Kupas buah sirsak, ambil daging buahnya, buang bijinya.Dalam blender, campur buah sirsak, gula pasir, kental manis, air dan es batu. Anda juga bisa mengganti dengan susu kental manis rendah gula dan pemanis bebas gula.Proses dengan blender sampai halus.Tuang dalam gelas saji. Tambahkan es batu jika ingin lebih dingin.1. Jika tidak suka terlalu masam, Anda juga bisa membuat jus sirsak ini dengan tambahan susu full cream.","['sirsak', 'susu kental manis', 'batu']"
211,Resep Jus Jambu,https://resepkoki.id/resep/resep-jus-jambu/, Jambu biji merah  -  2 buah Gula pasir  -  3 sdm Kental manis  -  2 sdm Es batu  -  secukupnya,"Kupas buah jambu, cuci bersih kemudian potong-potong.Masukkan potongan jambu ke dalam blender, tambahkan gula pasir, kental manis, air dan es batu. Anda juga bisa mengganti dengan susu kental manis rendah gula dan pemanis bebas gula.Blender jambu sampai halus, lalu saring jus jambu yang sudah diblender.Tuang dalam gelas saji. Tambahkan es batu jika ingin lebih dingin.","['susu kental manis', 'batu', 'jambu biji merah']"
212,Resep Nasi Goreng Shirataki,https://resepkoki.id/resep/resep-nasi-goreng-shirataki/," Nasi shirataki basah  -  400 gram Paha ayam  -  1 potong Telur  -  2 butir Kecap manis  -  2 sdm Saus tiram  -  1 sdm Daun bawang  -  2 tangkai Cabai merah, iris serong  -  3 buah Kaldu bubuk  -  1/2 sdt Garam  -  secukupnya Bawang goreng  -  secukupnya","Rebus ayam dengan air secukupnya sampai matang, angkat dan tiriskan. Suwir-suwir dagingnya.Cuci bersih nasi shirataki, kemudian rebus dengan air secukupnya sampai mendidih. Angkat dan tiriskan.Geprek bawang putih kemudian tumis sampai harum, masukkan telur, orak arik sampai matang.Masukkan nasi shirataki, suwiran ayam, kecap manis, saus tiram, kaldu bubuk dan garam lalu aduk rata. Tambahkan daun bawang dan irisan cabai, aduk rata.Masak sampai bumbu meresap, lalu angkat dan sajikan dengan taburan bawang goreng.1. Untuk bumbu memang menggunakan takaran lebih banyak dari nasi goreng biasa, karena nasi shirataki mempunyai rasa yang cenderung hambar.","['saus tiram', 'bawang', 'telur', 'nasi shirataki', 'kecap manis', 'daun bawang', 'cabai merah', 'paha ayam', 'kaldu bubuk']"
213,Resep Mie Tulang Bandung,https://resepkoki.id/resep/resep-mie-tulang-bandung/," Mie instan goreng  -  2 bungkus Tulang ayam  -  250 gram Telur  -  2 butir Kecap manis  -  1 sdm Saus tomat  -  1/2 sdm Garam  -  1/2 sdt Air kaldu  -  300 ml Irisan cabai merah, untuk taburan  -  secukupnya  Bawang putih  -  3 siung Bawang merah  -  2 butir Cabai merah besar  -  1 buah Cabai rawit  -  2 buah","Rebus tulang ayam dengan air secukupnya sampai matang, tiriskan. Ambil air kaldunya.Siapkan panci, rebus mie instan sampai setengah matang, angkat dan tiriskan. Campur mie yang sudah ditiriskan dengan bumbu mie instan.Haluskan semua bumbu halus, kemudian tumis dengan minyak secukupnya sampai harum. Sisihkan bumbu di tepi wajan, masukkan telur kemudian orak arik sampai matang.Masukkan air kaldu dan tulang ayam, aduk rata, tambahkan kecap manis, saus tomat dan garam. Aduk kembali.Masukkan mie instan yang sudah dicampur bumbu, aduk rata. Tambahkan daun bawang. Aduk rata sampai bumbu dan air meresap semua.Angkat dan sajikan dengan taburan irisan cabai rawit.1. Lebih nikmat gunakan tulang yang masih menempel dagingnya sedikit.","['kaldu', 'telur', 'tulang ayam', 'mie', 'kecap manis', 'cabai merah', 'cabai rawit', 'bawang putih', 'bawang merah', 'saus tomat']"
214,Resep Milk Tea Jelly,https://resepkoki.id/resep/resep-milk-tea-jelly/, Teh  -  2 kantung Susu cair  -  200 ml Susu kental manis  -  2 sdm Air panas  -  100 ml Es batu  -  secukupnya Bubuk jelly cincau @ 10 gram  -  1 bungkus Gula pasir  -  100 gram Air  -  400 ml,"Jelly: Campur bubuk jelly, gula pasir dan air. Masak sampai mendidih, dinginkan kemudian potong dadu kecil.Seduh teh dengan air panas, diamkan hingga hangat.Campur seduhan teh dengan susu cair, susu kental manis dan gula pasir. Aduk rata.Masukkan potongan jelly ke dalam gelas saji, lalu tambahkan es batu sesuai selera. Kemudian tuang milk tea.Milk Tea Jelly siap disajikan.","['cincau', 'susu kental manis', 'jelly', 'bubuk', 'teh', 'batu', 'susu']"
215,Resep Milkshake Chocolate,https://resepkoki.id/resep/resep-milkshake-chocolate/," Susu cair coklat  -  250 ml Es krim coklat  -  3 scoop Sirup coklat  -  4 : Whippng cream kocok  -  secukupnya Wafer coklat  -  2 buah Coklat leleh  -  1 sdm Sirup coklat, untuk hiasan di gelas  -  1 sdm","Campur semua bahan, susu cair, es krim, sirup coklat dan es batu.Proses dengan blender sampai halus dan tercampur rata.Tuang sirup coklat di tepi gelas, kemudian tuang milkshake dalam gelas saji. Semprot atasnya dengan whipping cream kocok, hias dengan cokelat leleh dan wafer.Chocolate Milkshake siap disajikan.Supaya lebih rapi, masukan whipping cream kocok dalam plastik segitiga. Beri lubang di ujung plastik dan pasangkan spuit piping untuk dekorasi milkshake.","['sirup', 'wafer', 'cream', 'whippng', 'cokelat', 'krim', 'susu']"
216,Resep Mie Aceh Kuah,https://resepkoki.id/resep/resep-mie-aceh-kuah/," Mie kuning basah  -  250 gram Telur, kocok lepas  -  1 butir Udang  -  100 gram Kubis, iris tipis  -  2 lembar Daun bawang, iris tipis  -  1 batang Kecap manis  -  2 sdm Kecap asin  -  2 sdm Bubuk kari  -  1 sdm Jintan bubuk  -  1/2 sdt Air  -  500 ml Garam  -  secukupnya Gula  -  secukupnya Minyak goreng  -   HALUS: Cabai merah  -  3 buah Bawang merah - 3 butir Bawang putih - 2 siung Tomat - 1 buah Kemiri - 2 butir PELENGKAP: Emping - secukupnya Irisan bawang merah - secukupnya Irisan tomat - secukupnya Acar timun - secukupnya","Bilas mie kuning basah dengan air, kemudian tiriskan.Haluskan bumbu halus, kemudian tumis sampai harum. Masukkan udang, masak hingga udang berubah warna.Masukkan telur, orak-arik hingga matang lalu tambahkan air.Masukkan mie dan sayuran (kubis, tauge, daun bawang), tambahkan kecap manis, kecap asin, bubuk kari, jintan bubuk serta garam dan gula. Aduk rata.Masak hingga meresap dan kuah mengental.Sajikan mie aceh kuah dengan emping, irisan bawang merah, acar, irisan timun dan tomat.","['emping', 'bubuk kari', 'acar', 'kol', 'bubuk', 'telur', 'kecap asin', 'kecap manis', 'cabai merah', 'daun bawang', 'kemiri', 'tomat', 'udang', 'jintan', 'bawang merah', 'mie kuning', 'bawang putih', 'timun']"
217,Resep Mie Tarempa,https://resepkoki.id/resep/resep-mie-tarempa/," Mie telur gepeng  -  150 gram Ikan tongkol  -  250 gram Telur, kocok lepas  -  2 butir Daun bawang, iris tipis  -  1 batang Seledri, iris halus  -  1 tangkai Bawang putih, geprek cincang halus  -  2 siung Cabai merah  -  3 buah Cabai rawit  -  2 buah Saus tomat  -  2 sdm Saus tiram  -  2 sdm Kecap manis  -  1 sdm Kecap asin  -  1 sdm Air / air kaldu  -  500 ml Minyak goreng  -  :","Kukus ikan tongkol sampai matang, kemudian haluskan kasar dengan chopper.Rebus mie hingga setengah matang kurang lebih 3 menit, angkat dan tiriskan.Haluskan cabai merah dan cabai rawit, kemudian tumis hingga harum bersama bawang putih. Sisihkan bumbu di tepi wajan kemudian masukkan telur kocok, orak arik hingga telur matang.Masukkan tongkol dan mie yang sudah direbus, aduk rata. Tambahkan air kaldu atau air biasa.Masukkan saus tiram, saus tomat, kecap manis dan kecap asin, aduk rata. Tambahkan tauge, daun bawang dan seledri, aduk rata. Masak sampai mie matang, koreksi rasanya. Jika kurang asin, tambahkan garam.Tata dalam piring saji, taburi dengan bawang goreng dan irisan seledri.","['saus tiram', 'kaldu', 'telur', 'kecap asin', 'mie', 'cabai merah', 'cabai rawit', 'daun bawang', 'kecap manis', 'seledri', 'bawang putih', 'ikan tongkol', 'saus tomat', 'telur ikan']"
218,Resep Spaghetti Rendang,https://resepkoki.id/resep/resep-spaghetti-rendang/, Spaghetti  -  150 gram Daging sapi  -  150 gram Santan kental  -  200 ml Serai  -  1 batang Daun jeruk  -  1 lembar Garam  -  1/4 sdt Gula  -  secukupnya BUMBU HALUS: Bawang merah  -  5 butir Bawang putih  -  2 siung Cabai merah besar  -  6 buah Kemiri  -  2 butir Ketumbar  -  1/2 sdt Jahe  -  1 ruas jari Pala  -  1/4 sdt,"Cuci bersih daging, kemudian potong kecil-kecil sesuai selera, sisihkan.Haluskan semua bumbu halus (bawang merah, bawang putih, cabai Merah, kemiri, ketumbar, jahe, lengkuas, pala, jintan) dengan menggunakan chopper sampai halus.Tumis bumbu halus sampai harum, kemudian masukkan santan, serai, lengkuas, daun jeruk, gula dan garam. Aduk terus santan sampai minyaknya keluar sedikit dan aroma tercium. Kemudian, masukkan daging. Aduk terus sampai santan menyusut, setelah santan menyusut koreksi rasanya.Sambil menunggu rendang matang dan menghitam (sambil sesekali diaduk), rebus spaghetti hingga lunak dan matang, tiriskan. Masukkan spaghetti yang sudah direbus ke dalam rendang yang sudah matang dan berwarna coklat tua, aduk hingga rata. Masak sebentar kemudian angkat.Spaghetti Rendang siap disajikan.","['spaghetti', 'pala', 'daun jeruk', 'santan', 'cabai merah', 'jahe', 'kemiri', 'bawang putih', 'bawang merah', 'serai', 'daging sapi', 'ketumbar', 'kental']"
219,Resep Meringue Cookies,https://resepkoki.id/resep/resep-meringue-cookies/, Putih telur  -  2 butir Gula pasir butiran halus  -  100 gram Perasan lemon  -  1 sdt Pewarna makanan  -  secukupnya Sprinkles warna-warni  -  secukupnya,"Kocok putih telur dengan kecepatan sedang sampai berbusa, tambahkan perasan lemon, mixer sebentar.Masukkan gula pasir secara bertahap sedikit-sedikit sambil terus dimixer, kemudian masukkan pasta vanilla.Mixer sampai kaku dan putih telur terlihat mengkilap. Apabila sudah kaku jangan dimixer lagi, karena tekstur putih telur akan rusak.Beri pewarna secukupnya, aduk rata menggunakan spatula.Masukkan dalam piping bag (plastik segitiga) yang sudah diberi spuit. Spuitkan dalam loyang yang sudah dialasi dengan kertas roti dan taburi dengan sprinkles warna-warni.Panggang dalam oven yang sudah dipanaskan, dengan suhu 100°C Selama 45 menit. Setelah matang mengeras, dengan ciri-ciri mudah mengelupas dari loyang, diamkan di oven yang sudah mati selama 30 menit atau sampai panasnya benar-benar hilang baru keluarkan dari oven. Simpan dalam toples.1. Untuk tekstur dan hasil terbaik, putih telur harus segar dan belum masuk kulkas (suhu ruang).","['lemon', 'putih telur', 'warna', 'sprinkles', 'warni']"
220,Resep Infused Water,https://resepkoki.id/resep/resep-infused-water/, Lemon  -  1 buah Strawberry  -  3 buah Timun ukuran sedang  -  1/4 buah Air putih matang  -  1 liter,"Iris-iris semua buah. Bagi dua lemon, daun mint dan air. Kemudian masukkan strawberry lemon dan timun lemon dalam 2 botol / pitcher / gelas bersama daun mint.Tuangi air matang, kemudian simpan di kulkas.Infused water lemon timun dan strawberry lemon siap untuk diminum setelah 2 jam. Infused water paling baik diminum setelah 2-4 jam.1. Agar infused water tidak pahit, pastikan merendam lemon tidak lebih dari 4 jam agar rasa pahit dari kulit lemon tidak merasuk ke dalam air.","['strawberry', 'lemon', 'putih', 'timun']"
221,Resep Lidah Sapi Cabe hijau,https://resepkoki.id/resep/resep-lidah-sapi-cabe-hijau/," Lidah Sapi  -  500 gram Bawang bombay  -  1/2 buah Bawang merah, iris tipis  -  3 butir Cabai hijau besar, iris serong  -  3 buah Saus tiram  -  1 sdm Kecap manis  -  4 sdm Garam  -  1/2 sdt Gula  -  secukupnya","Rebus lidah sapi hingga empuk, atau boleh juga dipresto. Kelupas kulit luarnya saat masih hangat, supaya lebih mudah. Setelah itu, iris tipis lidah sapi sesuai selera.Tumis irisan bawang merah, bawang putih dan bawang bombay sampai harum.Masukkan lidah sapi yang sudah direbus dan dipotong tipis, tambahkan saus tiram, kecap manis, garam dan gula aduk rata.Masukkan irisan cabai hijau, aduk rata. Masak sampai bumbu meresap. Koreksi rasanya, angkat jika sudah pas.Lidah sapi siap disajikan.Pilih lidah sapi yang baru dan segar supaya tidak bau anyir saat diolah. Cuci dengan perasan air jeruk nipis.","['saus tiram', 'lidah sapi', 'cabai hijau', 'kecap manis', 'bawang merah', 'bawang bombay']"
222,Resep Kerang Dara Saus Pedas,https://resepkoki.id/resep/resep-kerang-dara-saus-pedas/," Kerang dara  -  500 gram Saus tiram  -  1 sdm Saus sambal  -  2 sdm Daun jeruk  -  2 lembar Jahe  -  2 ruas jari Cabai merah, iris tipis  -  2 buah Garam  -  secukupnya Gula  -  secukupnya Air, untuk merebus kerang  -  secukupnya Bawang merah  -  4 butir Bawang putih  -  2 siung Cabai merah besar  -  5 buah Cabai rawit  -  10 buah","Cuci bersih kerang dara, sikat kulitnya sampai bersih dari kotoran.Rebus kerang dengan jahe sampai matang dan cangkang terbuka, angkat dan tiriskan.Haluskan semua bumbu halus, kemudian tumis dengan serai dan daun jeruk sampai harum.Tambahkan sedikit air, kemudian tambahkan saus tiram, saus sambal, garam dan gula sesuai selera. Aduk rata.Masukkan kerang yang sudah direbus dan irisan cabai merah, aduk rata. Masak sampai bumbu meresap dan mengental. Koreksi rasanya.Kerang dara saus pedas siap disajikan.","['saus tiram', 'saus sambal', 'daun jeruk', 'kerang', 'cabai merah', 'jahe', 'cabai rawit', 'bawang putih', 'bawang merah', 'kerang dara']"
223,Resep Kerang Hijau Balado,https://resepkoki.id/resep/resep-kerang-hijau-balado/," Daging kerang hijau rebus  -  300 gram Cabai merah besar, iris serong  -  2 buah Lengkuas  -  1 ruas jari Daun jeruk  -  2 lembar Air  -  50 ml Garam  -  1/2 sdt Gula  -  secukupnya Minyak goreng, untuk menumis  -  secukupnya  Cabai merah besar  -  3 buah Cabai rawit  -  10 buah Bawang merah  -  4 butir Bawang putih  -  1 siung Tomat  -  1 buah","Haluskan semua bumbu halus: cabai merah, cabai rawit, bawang merah, bawang putih dan tomat.Panaskan minyak, tumis bumbu halus bersama lengkuas, serai dan daun jeruk sampai harum.Masukkan kerang rebus, tambahkan air, garam dan gula sesuai selera, aduk rata.Masak sampai air menyusut habis dan bumbu meresap. Koreksi rasanya.Kerang Balado siap disajikan.Anda juga bisa memakai kerang dara atau jenis kerang lainnya sesuai selera.","['kerang hijau', 'daging sapi', 'daun jeruk', 'lengkuas', 'cabai merah', 'cabai rawit', 'tomat', 'bawang putih', 'bawang merah']"
224,Resep Kue Dange,https://resepkoki.id/resep/resep-kue-dange/," Tepung ketan hitam  -  200 gram Kelapa parut  -  100 gram Gula merah, sisir halus  -  100 gram Garam  -  1/2 sdt Air matang  -  60 ml ","Kukus kelapa parut 20 menit, angkat dan sisihkan.Campur tepung ketan hitam, kelapa parut, gula merah, gula pasir dan garam. Tuangi dengan air sedikit-sedikit sambil diaduk hingga rata, adonan basah tapi masih menghambur.Panaskan cetakan kue dange atau bisa juga memakai cetakan pukis, olesi dengan margarin tipis. Tuang adonan kedalam cetakan sambil dipadatkan.Panggang adonan hingga matang. Setelah matang angkat dari cetakan.Kue dange siap disajikan.","['tepung ketan', 'merah', 'kelapa', 'hitam']"
225,Resep Butterscotch Pudding,https://resepkoki.id/resep/resep-butterscotch-pudding/," Susu cair  -  400 ml Whipping cream cair  -  200 ml Brown sugar  -  150 gram Butter  -  50 gram Garam  -  1/2 sdt Kuning telur  -  3 butir Vanila ekstrak  -  1/2 sdt  Whipping cream, kocok  -  secukupnya Kacang sangrai, cincang  -  secukupnya Coklat serut, untuk garnish  -  secukupnya","Dalam wadah, campur maizena dan kuning telur. Aduk dengan whisk sampai rata dan konsistensi seperti pasta.Dalam wadah berbeda, campur susu cair dan whipping cream cair. Sisihkan.Dalam panci, masak brown sugar, garam, dan air. Proses ini sangat penting untuk menciptakan aroma klasik yang nikmat.Setelah brown sugar terkaramelisasi dan mendidih, masukan campuran susu sedikit demi sedikit sambil terus diaduk.Lakukan tampering sebelum memasukan campuran telur dan maizena ke dalam puding. Hal ini untuk mencegah telur matang menggumpal saat dimasak.Masukan telur yang sudah di tempering ke rebusan susu, masukan pelan pelan dan sedikit-sedikit sambil terus diaduk sampai merata. Lakukan perlahan agar tidak terjadi penggumpalan karena telur matang. Aduk terus sampai mengental. Matikan kompor, angkat dan taruh di meja.Masukan butter dan ekstrak vanilla, aduk sampai butter meleleh dan tercampur rata.","['brown sugar', 'ekstrak', 'butter', 'kacang', 'vanila', 'kuning telur', 'cokelat', 'whipping cream', 'susu']"
